"season","bowler","phase","runs_conceded","balls_bowled","wickets","dot_balls","economy","norm_wickets","norm_dot_balls","norm_economy","clutch_score"
2014,"Parvez Rasool","Middle",59,44,1,11,8.05,0.0625,0.0973451327433628,0.287755102040816,0.0379
2014,"Parvez Rasool","Powerplay",24,12,0,3,12,0,0.0265486725663717,0.448979591836735,-0.0369
2014,"R Ashwin","Death",80,58,4,14,8.28,0.25,0.123893805309735,0.297142857142857,0.1575
2014,"R Ashwin","Middle",280,228,7,72,7.37,0.4375,0.63716814159292,0.26,0.4277
2014,"R Ashwin","Powerplay",86,93,6,44,5.55,0.375,0.389380530973451,0.185714285714286,0.3232
2014,"R Bhatia","Death",21,12,0,3,10.5,0,0.0265486725663717,0.387755102040816,-0.0308
2014,"R Bhatia","Middle",266,220,13,53,7.25,0.8125,0.469026548672566,0.255102040816327,0.6027
2014,"R Dhawan","Death",77,47,3,7,9.83,0.1875,0.0619469026548673,0.360408163265306,0.095
2014,"R Dhawan","Middle",244,216,12,71,6.78,0.75,0.628318584070796,0.235918367346939,0.6149
2014,"R Dhawan","Powerplay",52,31,0,7,10.06,0,0.0619469026548673,0.369795918367347,-0.0184
2014,"R Rampaul","Middle",6,6,0,3,6,0,0.0265486725663717,0.204081632653061,-0.0124
2014,"R Rampaul","Powerplay",31,31,2,15,6,0.125,0.132743362831858,0.204081632653061,0.0944
2014,"R Sharma","Middle",65,36,1,9,10.83,0.0625,0.079646017699115,0.401224489795918,0.0213
2014,"R Shukla","Death",65,28,1,6,13.93,0.0625,0.0530973451327434,0.527755102040816,7e-04
2014,"R Shukla","Middle",7,6,0,1,7,0,0.00884955752212389,0.244897959183673,-0.0218
2014,"R Shukla","Powerplay",33,24,2,11,8.25,0.125,0.0973451327433628,0.295918367346939,0.0746
2014,"R Tewatia","Middle",59,55,3,21,6.44,0.1875,0.185840707964602,0.222040816326531,0.146
2014,"R Vinay Kumar","Death",109,61,7,12,10.72,0.4375,0.106194690265487,0.396734693877551,0.2547
2014,"R Vinay Kumar","Middle",104,67,1,14,9.31,0.0625,0.123893805309735,0.339183673469388,0.0407
2014,"R Vinay Kumar","Powerplay",81,66,2,30,7.36,0.125,0.265486725663717,0.259591836734694,0.1287
2014,"RA Jadeja","Death",105,70,5,17,9,0.3125,0.150442477876106,0.326530612244898,0.2
2014,"RA Jadeja","Middle",340,256,13,80,7.97,0.8125,0.707964601769911,0.284489795918367,0.6714
2014,"RA Jadeja","Powerplay",1,6,2,5,1,0.125,0.0442477876106195,0,0.0883
2014,"RG Sharma","Middle",26,18,1,4,8.67,0.0625,0.0353982300884956,0.313061224489796,0.0168
2014,"RN ten Doeschate","Middle",35,30,1,13,7,0.0625,0.115044247787611,0.244897959183673,0.0475
2014,"S Badree","Middle",45,25,1,4,10.8,0.0625,0.0353982300884956,0.4,0.0081
2014,"S Badree","Powerplay",58,62,1,36,5.61,0.0625,0.31858407079646,0.188163265306122,0.1143
2014,"S Gopal","Death",7,6,1,1,7,0.0625,0.00884955752212389,0.244897959183673,0.0157
2014,"S Gopal","Middle",102,73,4,24,8.38,0.25,0.212389380530973,0.301224489795918,0.1836
2014,"S Gopal","Powerplay",4,6,1,5,4,0.0625,0.0442477876106195,0.122448979591837,0.0385
2014,"S Kaul","Death",19,13,0,4,8.77,0,0.0353982300884956,0.317142857142857,-0.0211
2014,"S Kaul","Middle",53,24,1,4,13.25,0.0625,0.0353982300884956,0.5,-0.0019
2014,"S Kaul","Powerplay",64,45,1,16,8.53,0.0625,0.141592920353982,0.30734693877551,0.0492
2014,"S Nadeem","Death",61,38,2,8,9.63,0.125,0.0707964601769911,0.352244897959184,0.061
2014,"S Nadeem","Middle",187,147,6,45,7.63,0.375,0.398230088495575,0.270612244897959,0.3174
2014,"S Nadeem","Powerplay",66,50,1,13,7.92,0.0625,0.115044247787611,0.282448979591837,0.0438
2014,"S Rana","Middle",16,12,0,3,8,0,0.0265486725663717,0.285714285714286,-0.0206
2014,"SA Yadav","Powerplay",8,6,0,2,8,0,0.0176991150442478,0.285714285714286,-0.0233
2014,"SB Jakati","Death",17,4,0,0,25.5,0,0,1,-0.1
2014,"SB Jakati","Middle",4,6,0,2,4,0,0.0176991150442478,0.122448979591837,-0.0069
2014,"SB Jakati","Powerplay",20,12,0,2,10,0,0.0176991150442478,0.36734693877551,-0.0314
2014,"SK Raina","Death",26,18,1,5,8.67,0.0625,0.0442477876106195,0.313061224489796,0.0195
2014,"SK Raina","Middle",109,91,0,29,7.19,0,0.256637168141593,0.25265306122449,0.0517
2014,"SL Malinga","Death",138,107,14,35,7.74,0.875,0.309734513274336,0.275102040816327,0.5904
2014,"SL Malinga","Middle",53,48,0,18,6.62,0,0.15929203539823,0.229387755102041,0.0248
2014,"SL Malinga","Powerplay",76,88,3,46,5.18,0.1875,0.407079646017699,0.170612244897959,0.2176
2014,"SP Narine","Death",189,170,15,68,6.67,0.9375,0.601769911504425,0.231428571428571,0.7199
2014,"SP Narine","Middle",148,126,4,36,7.05,0.25,0.31858407079646,0.246938775510204,0.2209
2014,"SP Narine","Powerplay",95,96,3,53,5.94,0.1875,0.469026548672566,0.201632653061224,0.233
2014,"SR Watson","Death",46,35,2,8,7.89,0.125,0.0707964601769911,0.281224489795918,0.0681
2014,"SR Watson","Middle",38,30,3,12,7.6,0.1875,0.106194690265487,0.269387755102041,0.1174
2014,"SR Watson","Powerplay",85,69,2,37,7.39,0.125,0.327433628318584,0.260816326530612,0.1471
2014,"STR Binny","Death",11,6,0,1,11,0,0.00884955752212389,0.408163265306122,-0.0382
2014,"STR Binny","Middle",37,30,2,10,7.4,0.125,0.0884955752212389,0.261224489795918,0.0754
2014,"STR Binny","Powerplay",17,18,2,7,5.67,0.125,0.0619469026548673,0.190612244897959,0.0745
2014,"Sandeep Sharma","Death",94,45,5,9,12.53,0.3125,0.079646017699115,0.470612244897959,0.1643
2014,"Sandeep Sharma","Middle",24,18,1,4,8,0.0625,0.0353982300884956,0.285714285714286,0.0195
2014,"Sandeep Sharma","Powerplay",240,192,13,96,7.5,0.8125,0.849557522123894,0.26530612244898,0.7158
2014,"Shakib Al Hasan","Death",57,38,3,11,9,0.1875,0.0973451327433628,0.326530612244898,0.1091
2014,"Shakib Al Hasan","Middle",201,190,9,62,6.35,0.5625,0.548672566371681,0.218367346938775,0.4803
2014,"Shakib Al Hasan","Powerplay",81,79,3,40,6.15,0.1875,0.353982300884956,0.210204081632653,0.1977
2014,"Shivam Sharma","Death",26,18,0,5,8.67,0,0.0442477876106195,0.313061224489796,-0.018
2014,"Shivam Sharma","Middle",95,78,3,29,7.31,0.1875,0.256637168141593,0.257551020408163,0.1637
2014,"TG Southee","Death",27,21,0,5,7.71,0,0.0442477876106195,0.273877551020408,-0.0141
2014,"TG Southee","Middle",12,6,0,1,12,0,0.00884955752212389,0.448979591836735,-0.0422
2014,"TG Southee","Powerplay",39,36,0,19,6.5,0,0.168141592920354,0.224489795918367,0.028
2014,"UT Yadav","Death",139,84,5,20,9.93,0.3125,0.176991150442478,0.364489795918367,0.2041
2014,"UT Yadav","Middle",110,87,2,26,7.59,0.125,0.230088495575221,0.268979591836735,0.1171
2014,"UT Yadav","Powerplay",132,112,5,49,7.07,0.3125,0.433628318584071,0.247755102040816,0.2928
2014,"V Shankar","Middle",19,6,0,1,19,0,0.00884955752212389,0.73469387755102,-0.0708
2014,"VR Aaron","Death",114,63,6,16,10.86,0.375,0.141592920353982,0.402448979591837,0.2272
2014,"VR Aaron","Middle",103,91,6,36,6.79,0.375,0.31858407079646,0.236326530612245,0.2969
2014,"VR Aaron","Powerplay",92,84,4,38,6.57,0.25,0.336283185840708,0.22734693877551,0.2282
2014,"VS Malik","Middle",5,6,1,1,5,0.0625,0.00884955752212389,0.163265306122449,0.0238
2014,"VS Malik","Powerplay",24,13,0,6,11.08,0,0.0530973451327434,0.411428571428571,-0.0252
2014,"WD Parnell","Death",82,57,4,22,8.63,0.25,0.194690265486726,0.311428571428571,0.1773
2014,"WD Parnell","Middle",31,38,1,15,4.89,0.0625,0.132743362831858,0.158775510204082,0.0614
2014,"WD Parnell","Powerplay",122,95,2,45,7.71,0.125,0.398230088495575,0.273877551020408,0.1671
2014,"Y Venugopal Rao","Middle",7,6,0,2,7,0,0.0176991150442478,0.244897959183673,-0.0192
2014,"Y Venugopal Rao","Powerplay",9,6,0,1,9,0,0.00884955752212389,0.326530612244898,-0.03
2014,"YK Pathan","Middle",10,6,0,1,10,0,0.00884955752212389,0.36734693877551,-0.0341
2014,"YS Chahal","Death",24,24,1,6,6,0.0625,0.0530973451327434,0.204081632653061,0.033
2014,"YS Chahal","Middle",355,303,11,107,7.03,0.6875,0.946902654867257,0.246122448979592,0.672
2014,"YS Chahal","Powerplay",10,6,0,2,10,0,0.0176991150442478,0.36734693877551,-0.0314
2014,"Yuvraj Singh","Death",52,35,0,6,8.91,0,0.0530973451327434,0.322857142857143,-0.0164
2014,"Yuvraj Singh","Middle",139,105,6,27,7.94,0.375,0.238938053097345,0.283265306122449,0.2684
2014,"Z Khan","Death",47,32,1,6,8.81,0.0625,0.0530973451327434,0.318775510204082,0.0216
2014,"Z Khan","Middle",25,19,0,7,7.89,0,0.0619469026548673,0.281224489795918,-0.0095
2014,"Z Khan","Powerplay",84,87,5,43,5.79,0.3125,0.380530973451327,0.195510204081633,0.2821
2015,"A Ashish Reddy","Death",20,18,2,6,6.67,0.0833333333333333,0.048,0.298421052631579,0.0346
2015,"A Ashish Reddy","Middle",31,19,2,3,9.79,0.0833333333333333,0.024,0.462631578947368,0.0109
2015,"A Mishra","Death",97,59,2,13,9.86,0.0833333333333333,0.104,0.466315789473684,0.0346
2015,"A Mishra","Middle",215,190,7,62,6.79,0.291666666666667,0.496,0.304736842105263,0.2933
2015,"A Nehra","Death",110,89,11,32,7.42,0.458333333333333,0.256,0.337894736842105,0.318
2015,"A Nehra","Middle",46,37,2,13,7.46,0.0833333333333333,0.104,0.34,0.0472
